Geschlecht,Alter,Bildungsabschluss,Einkommen,BioV,Gruppe_Bio,Bedingung,CCP,CCC
2,71,4,3,4,2,KG A,1,1
,,,,,,,,
1,64,7,0,4,2,KG A,1,1
,,,,,,,,
2,50,5,0,4,2,KG A,1,1
,,,,,,,,
2,61,3,8,4,2,KG A,1,1
,,,,,,,,
2,32,8,4,4,2,KG A,1,1
,,,,,,,,
1,27,7,2,4,2,KG A,1,1
,,,,,,,,
1,47,9,5,4,2,KG A,2,2
,,,,,,,,
2,42,3,2,4,2,KG A,1,1
,,,,,,,,
1,24,8,1,4,2,KG A,1,1
,,,,,,,,
2,51,5,2,4,2,KG A,1,1
,,,,,,,,
2,26,3,3,4,2,KG A,1,1
,,,,,,,,
1,61,5,7,4,2,KG A,1,1
,,,,,,,,
2,23,4,4,4,2,KG A,1,1
,,,,,,,,
2,64,5,3,4,2,KG A,1,1
,,,,,,,,
1,34,8,2,4,2,KG A,2,2
,,,,,,,,
2,57,5,5,4,2,KG A,1,1
,,,,,,,,
2,50,7,2,4,2,KG B,1,1
,,,,,,,,
1,38,7,7,4,2,KG B,1,1
,,,,,,,,
2,57,8,2,4,2,KG B,1,1
,,,,,,,,
1,32,8,4,4,2,KG B,1,1
,,,,,,,,
2,62,5,2,4,2,KG B,1,1
,,,,,,,,
2,78,9,7,4,2,KG B,1,1
,,,,,,,,
2,59,5,5,4,2,KG B,1,1
,,,,,,,,
2,49,9,6,"4,25",2,Intervention A,2,1
,,,,,,,,
2,72,9,8,"4,25",2,Intervention A,1,2
,,,,,,,,
2,63,9,4,"4,25",2,Intervention A,1,1
,,,,,,,,
2,32,8,3,"4,25",2,Intervention A,1,1
,,,,,,,,
2,24,8,2,"4,25",2,Intervention A,1,1
,,,,,,,,
1,60,5,2,"4,25",2,Intervention B,1,1
,,,,,,,,
2,30,7,5,"4,25",2,Intervention B,2,1
,,,,,,,,
2,36,5,7,"4,25",2,Intervention B,1,1
,,,,,,,,
2,73,9,5,"4,25",2,Intervention B,1,1
,,,,,,,,
2,42,9,9,"4,25",2,Intervention B,2,2
,,,,,,,,
1,44,7,0,"4,25",2,Intervention B,1,2
,,,,,,,,
1,54,7,3,"4,25",2,Intervention B,2,2
,,,,,,,,
1,33,5,2,"4,25",2,Intervention B,1,1
,,,,,,,,
2,53,5,4,"4,25",2,Intervention B,2,2
,,,,,,,,
1,26,7,1,"4,25",2,Intervention B,2,2
,,,,,,,,
1,29,5,7,"4,25",2,Intervention B,1,1
,,,,,,,,
1,67,4,6,"4,25",2,KG A,2,2
,,,,,,,,
1,65,3,2,"4,25",2,KG A,2,1
,,,,,,,,
2,62,4,5,"4,25",2,KG A,1,1
,,,,,,,,
2,77,5,2,"4,25",2,KG A,1,1
,,,,,,,,
1,21,5,4,"4,25",2,KG A,1,1
,,,,,,,,
2,58,5,5,"4,25",2,KG A,1,1
,,,,,,,,
1,65,5,3,"4,25",2,KG B,1,1
,,,,,,,,
1,43,4,5,"4,25",2,KG B,1,1
,,,,,,,,
1,21,4,2,"4,5",2,Intervention A,1,1
,,,,,,,,
2,62,4,2,"4,5",2,Intervention A,1,1
,,,,,,,,
1,24,5,3,"4,5",2,Intervention A,1,1
,,,,,,,,
2,63,9,8,"4,5",2,Intervention B,1,1
,,,,,,,,
1,26,6,3,"4,5",2,Intervention B,1,1
,,,,,,,,
1,21,1,5,"4,5",2,Intervention B,1,2
,,,,,,,,
1,32,9,7,"4,5",2,Intervention B,2,2
,,,,,,,,
2,69,5,3,"4,5",2,Intervention B,1,2
,,,,,,,,
1,62,4,3,"4,5",2,Intervention B,1,2
,,,,,,,,
2,19,1,1,"4,5",2,Intervention B,1,2
,,,,,,,,
1,57,3,2,"4,5",2,Intervention B,1,1
,,,,,,,,
1,35,4,2,"4,5",2,KG A,1,1
,,,,,,,,
2,55,7,6,"4,5",2,KG A,1,2
,,,,,,,,
2,39,6,3,"4,5",2,KG A,1,1
,,,,,,,,
1,40,5,5,"4,5",2,KG A,1,1
,,,,,,,,
1,22,6,3,"4,5",2,KG A,1,1
,,,,,,,,
1,38,5,3,"4,5",2,KG A,2,2
,,,,,,,,
2,50,7,0,"4,5",2,KG A,1,1
,,,,,,,,
2,71,6,2,"4,5",2,KG A,1,1
,,,,,,,,
