Geschlecht,Alter,Bildungsabschluss,Einkommen,BioV,Gruppe_Bio,Bedingung,CCP,CCC
1,35,9,3,6,1,Intervention A,2,2
,,,,,,,,
1,32,8,0,6,1,Intervention A,2,2
,,,,,,,,
1,73,9,2,6,1,Intervention A,2,2
,,,,,,,,
2,59,5,4,6,1,Intervention A,2,1
,,,,,,,,
2,80,6,6,6,1,Intervention A,2,2
,,,,,,,,
1,65,5,0,6,1,Intervention A,2,1
,,,,,,,,
1,19,7,0,6,1,Intervention A,2,2
,,,,,,,,
1,31,5,3,6,1,Intervention A,2,2
,,,,,,,,
2,63,4,0,6,1,Intervention A,2,2
,,,,,,,,
2,64,4,3,6,1,Intervention A,2,2
,,,,,,,,
1,49,9,3,6,1,Intervention A,2,2
,,,,,,,,
1,34,6,5,6,1,Intervention A,2,1
,,,,,,,,
1,23,5,3,6,1,Intervention A,2,2
,,,,,,,,
2,25,8,0,6,1,Intervention B,2,2
,,,,,,,,
2,55,9,7,6,1,Intervention B,1,2
,,,,,,,,
1,55,9,2,6,1,Intervention B,2,2
,,,,,,,,
2,50,8,4,6,1,Intervention B,1,2
,,,,,,,,
2,80,8,0,6,1,Intervention B,2,2
,,,,,,,,
2,57,9,7,6,1,Intervention B,2,2
,,,,,,,,
1,44,5,1,6,1,Intervention B,2,2
,,,,,,,,
2,67,7,5,6,1,Intervention B,2,2
,,,,,,,,
1,58,3,2,6,1,Intervention B,1,1
,,,,,,,,
1,60,9,6,6,1,Intervention B,2,2
,,,,,,,,
2,48,4,0,6,1,Intervention B,2,2
,,,,,,,,
2,57,9,7,6,1,Intervention B,1,2
,,,,,,,,
1,58,9,0,6,1,Intervention B,1,2
,,,,,,,,
2,58,4,2,6,1,Intervention B,1,2
,,,,,,,,
2,64,9,7,6,1,Intervention B,2,2
,,,,,,,,
1,59,5,3,6,1,Intervention B,2,2
,,,,,,,,
1,76,7,4,6,1,Intervention B,2,2
,,,,,,,,
2,40,9,8,6,1,Intervention B,2,2
,,,,,,,,
1,73,6,2,6,1,Intervention B,2,2
,,,,,,,,
1,66,7,0,6,1,Intervention B,1,2
,,,,,,,,
2,40,9,7,6,1,Intervention B,2,2
,,,,,,,,
2,54,9,9,6,1,Intervention B,2,2
,,,,,,,,
2,34,5,2,6,1,KG A,1,1
,,,,,,,,
1,60,5,4,6,1,KG A,2,2
,,,,,,,,
1,64,4,3,6,1,KG A,1,1
,,,,,,,,
1,26,9,4,6,1,KG A,1,1
,,,,,,,,
1,41,5,9,6,1,KG A,1,1
,,,,,,,,
1,59,5,1,6,1,KG A,1,1
,,,,,,,,
1,59,9,1,6,1,KG A,1,1
,,,,,,,,
1,27,7,2,6,1,KG A,2,2
,,,,,,,,
2,56,3,7,6,1,KG A,1,1
,,,,,,,,
2,59,5,4,6,1,KG A,2,1
,,,,,,,,
2,59,9,9,6,1,KG A,2,2
,,,,,,,,
2,80,9,8,6,1,KG A,2,2
,,,,,,,,
2,48,9,4,6,1,KG A,1,1
,,,,,,,,
1,56,4,7,6,1,KG A,2,1
,,,,,,,,
1,47,5,6,6,1,KG A,1,1
,,,,,,,,
1,68,5,2,6,1,KG A,1,1
,,,,,,,,
2,25,5,7,6,1,KG A,1,1
,,,,,,,,
2,33,9,7,6,1,KG A,2,2
,,,,,,,,
2,56,5,3,6,1,KG A,1,1
,,,,,,,,
2,32,7,5,6,1,KG A,2,1
,,,,,,,,
2,51,5,3,6,1,KG A,1,2
,,,,,,,,
2,74,4,5,6,1,KG A,2,1
,,,,,,,,
1,37,6,1,6,1,KG A,1,1
,,,,,,,,
2,67,8,6,6,1,KG A,2,2
,,,,,,,,
2,69,8,3,6,1,KG A,1,2
,,,,,,,,
2,74,9,6,6,1,KG A,1,1
,,,,,,,,
2,73,3,4,6,1,KG A,1,1
,,,,,,,,
2,72,5,2,6,1,KG B,1,1
,,,,,,,,
2,68,4,6,6,1,KG B,1,1
,,,,,,,,
2,78,5,2,6,1,KG B,1,1
,,,,,,,,
2,39,5,4,6,1,KG B,1,1
,,,,,,,,
2,68,3,5,6,1,KG B,2,2
,,,,,,,,
2,60,9,4,6,1,KG B,1,1
,,,,,,,,
2,66,8,4,6,1,KG B,1,1
,,,,,,,,
2,68,3,3,6,1,KG B,1,1
,,,,,,,,
2,65,9,2,6,1,KG B,1,1
,,,,,,,,
1,60,7,2,6,1,KG B,1,1
,,,,,,,,
1,67,8,2,6,1,KG B,1,1
,,,,,,,,
1,62,4,2,6,1,KG B,1,2
,,,,,,,,
2,42,5,4,6,1,KG B,1,1
,,,,,,,,
2,77,9,8,6,1,KG B,1,1
,,,,,,,,
2,70,9,6,6,1,KG B,1,1
,,,,,,,,
2,53,5,5,6,1,KG B,1,1
,,,,,,,,
2,33,4,9,6,1,KG B,2,2
,,,,,,,,
2,63,5,2,6,1,KG B,1,1
,,,,,,,,
1,22,6,3,6,1,KG B,1,1
,,,,,,,,
2,77,9,5,6,1,KG B,1,1
,,,,,,,,
1,38,9,7,6,1,KG B,2,2
,,,,,,,,
2,58,5,5,6,1,KG B,2,2
,,,,,,,,
2,64,9,3,6,1,KG B,1,1
,,,,,,,,
1,18,1,0,"6,25",1,Intervention A,1,1
,,,,,,,,
1,49,5,4,"6,25",1,Intervention A,1,1
,,,,,,,,
2,57,6,3,"6,25",1,Intervention A,1,1
,,,,,,,,
2,62,5,3,"6,25",1,Intervention A,1,1
,,,,,,,,
1,74,9,4,"6,25",1,Intervention A,1,1
,,,,,,,,
2,72,9,8,"6,25",1,Intervention A,1,1
,,,,,,,,
2,53,9,4,"6,25",1,Intervention A,1,1
,,,,,,,,
1,63,5,0,"6,25",1,Intervention A,1,1
,,,,,,,,
1,62,5,2,"6,25",1,Intervention A,2,2
,,,,,,,,
1,38,5,9,"6,25",1,Intervention A,2,2
,,,,,,,,
1,64,8,3,"6,25",1,Intervention A,2,2
,,,,,,,,
2,24,7,2,"6,25",1,Intervention A,2,2
,,,,,,,,
2,37,9,9,"6,25",1,Intervention A,2,2
,,,,,,,,
2,69,8,3,"6,25",1,Intervention A,2,1
,,,,,,,,
1,29,9,3,"6,25",1,Intervention A,2,2
,,,,,,,,
2,44,5,5,"6,25",1,Intervention A,2,2
,,,,,,,,
2,80,4,0,"6,25",1,Intervention A,2,2
,,,,,,,,
2,53,5,1,"6,25",1,Intervention A,2,2
,,,,,,,,
2,53,5,0,"6,25",1,Intervention A,2,2
,,,,,,,,
1,46,4,2,"6,25",1,Intervention A,2,1
,,,,,,,,
2,71,9,4,"6,25",1,Intervention B,2,2
,,,,,,,,
2,56,5,5,"6,25",1,Intervention B,2,2
,,,,,,,,
1,61,4,4,"6,25",1,Intervention B,1,2
,,,,,,,,
1,57,5,1,"6,25",1,Intervention B,1,2
,,,,,,,,
2,36,9,8,"6,25",1,Intervention B,1,1
,,,,,,,,
2,37,4,5,"6,25",1,Intervention B,2,2
,,,,,,,,
1,60,7,7,"6,25",1,Intervention B,1,2
,,,,,,,,
2,53,7,4,"6,25",1,Intervention B,1,1
,,,,,,,,
1,69,9,2,"6,25",1,Intervention B,2,2
,,,,,,,,
1,66,5,2,"6,25",1,KG A,1,1
,,,,,,,,
2,46,9,6,"6,25",1,KG A,2,2
,,,,,,,,
1,18,7,2,"6,25",1,KG A,1,1
,,,,,,,,
2,64,7,2,"6,25",1,KG A,1,1
,,,,,,,,
2,58,9,7,"6,25",1,KG A,1,1
,,,,,,,,
2,27,5,5,"6,25",1,KG A,2,2
,,,,,,,,
2,76,8,6,"6,25",1,KG A,2,2
,,,,,,,,
1,65,7,1,"6,25",1,KG A,1,1
,,,,,,,,
2,44,6,8,"6,25",1,KG A,1,1
,,,,,,,,
2,75,2,2,"6,25",1,KG A,1,1
,,,,,,,,
1,48,5,2,"6,25",1,KG A,2,2
,,,,,,,,
2,46,4,2,"6,25",1,KG A,1,1
,,,,,,,,
1,44,7,8,"6,25",1,KG A,1,1
,,,,,,,,
1,64,4,4,"6,25",1,KG A,1,1
,,,,,,,,
2,45,9,0,"6,25",1,KG B,1,1
,,,,,,,,
1,21,7,0,"6,25",1,KG B,1,1
,,,,,,,,
1,47,3,1,"6,25",1,KG B,1,1
,,,,,,,,
2,53,8,8,"6,25",1,KG B,2,1
,,,,,,,,
2,62,4,5,"6,25",1,KG B,1,1
,,,,,,,,
1,78,4,2,"6,25",1,KG B,1,2
,,,,,,,,
1,32,9,4,"6,25",1,KG B,2,2
,,,,,,,,
1,52,8,5,"6,25",1,KG B,2,2
,,,,,,,,
1,64,9,3,"6,25",1,KG B,1,1
,,,,,,,,
2,59,7,3,"6,25",1,KG B,2,2
,,,,,,,,
1,53,9,7,"6,25",1,KG B,1,1
,,,,,,,,
1,38,9,6,"6,25",1,KG B,1,1
,,,,,,,,
2,61,7,2,"6,25",1,KG B,1,2
,,,,,,,,
2,55,5,2,"6,5",1,Intervention A,1,2
,,,,,,,,
1,53,7,2,"6,5",1,Intervention A,1,1
,,,,,,,,
1,22,7,2,"6,5",1,Intervention A,2,2
,,,,,,,,
2,28,9,2,"6,5",1,Intervention A,2,2
,,,,,,,,
1,78,3,2,"6,5",1,Intervention A,2,1
,,,,,,,,
2,29,5,5,"6,5",1,Intervention A,2,2
,,,,,,,,
1,30,9,4,"6,5",1,Intervention A,2,2
,,,,,,,,
1,68,5,2,"6,5",1,Intervention A,2,2
,,,,,,,,
2,57,6,4,"6,5",1,Intervention A,2,1
,,,,,,,,
1,54,9,4,"6,5",1,Intervention A,2,2
,,,,,,,,
1,31,9,8,"6,5",1,Intervention A,2,2
,,,,,,,,
2,35,8,9,"6,5",1,Intervention A,2,2
,,,,,,,,
2,41,5,2,"6,5",1,Intervention B,1,2
,,,,,,,,
1,54,5,4,"6,5",1,Intervention B,1,1
,,,,,,,,
2,73,5,2,"6,5",1,Intervention B,1,1
,,,,,,,,
1,22,8,3,"6,5",1,Intervention B,1,2
,,,,,,,,
1,54,5,2,"6,5",1,Intervention B,1,2
,,,,,,,,
2,73,7,2,"6,5",1,Intervention B,2,2
,,,,,,,,
1,73,9,3,"6,5",1,Intervention B,2,2
,,,,,,,,
1,61,4,3,"6,5",1,Intervention B,1,1
,,,,,,,,
2,62,6,5,"6,5",1,Intervention B,1,2
,,,,,,,,
1,59,7,2,"6,5",1,Intervention B,1,1
,,,,,,,,
1,66,5,2,"6,5",1,KG A,1,1
,,,,,,,,
2,62,8,5,"6,5",1,KG A,1,2
,,,,,,,,
2,49,6,3,"6,5",1,KG A,2,2
,,,,,,,,
1,23,7,1,"6,5",1,KG A,2,2
,,,,,,,,
2,64,8,5,"6,5",1,KG A,1,1
,,,,,,,,
2,72,8,3,"6,5",1,KG A,1,1
,,,,,,,,
1,38,4,0,"6,5",1,KG A,2,2
,,,,,,,,
2,72,8,2,"6,5",1,KG A,1,1
,,,,,,,,
1,58,4,1,"6,5",1,KG A,1,1
,,,,,,,,
1,57,9,3,"6,5",1,KG A,2,2
,,,,,,,,
1,34,4,2,"6,5",1,KG A,1,1
,,,,,,,,
2,59,5,3,"6,5",1,KG A,1,1
,,,,,,,,
2,79,5,3,"6,5",1,KG A,1,1
,,,,,,,,
1,23,7,1,"6,5",1,KG A,2,1
,,,,,,,,
2,72,7,9,"6,5",1,KG A,1,1
,,,,,,,,
1,27,8,7,"6,5",1,KG A,1,1
,,,,,,,,
2,76,5,0,"6,5",1,KG A,1,1
,,,,,,,,
1,77,7,5,"6,5",1,KG A,1,1
,,,,,,,,
2,76,9,4,"6,5",1,KG A,1,1
,,,,,,,,
1,32,3,0,"6,5",1,KG A,1,1
,,,,,,,,
1,62,6,1,"6,5",1,KG A,1,1
,,,,,,,,
2,77,9,7,"6,5",1,KG A,1,1
,,,,,,,,
2,77,9,2,"6,5",1,KG A,1,1
,,,,,,,,
2,71,9,9,"6,5",1,KG B,1,1
,,,,,,,,
1,56,9,8,"6,5",1,KG B,1,1
,,,,,,,,
2,69,6,3,"6,5",1,KG B,1,1
,,,,,,,,
1,75,4,5,"6,5",1,KG B,1,1
,,,,,,,,
1,64,7,3,"6,5",1,KG B,1,1
,,,,,,,,
1,72,4,2,"6,5",1,KG B,2,2
,,,,,,,,
1,66,3,1,"6,5",1,KG B,1,1
,,,,,,,,
2,60,7,6,"6,5",1,KG B,1,1
,,,,,,,,
1,67,5,4,"6,5",1,KG B,2,2
,,,,,,,,
1,64,9,2,"6,5",1,KG B,1,1
,,,,,,,,
1,68,6,2,"6,5",1,KG B,1,1
,,,,,,,,
2,91,4,2,"6,5",1,KG B,1,1
,,,,,,,,
2,45,5,8,"6,5",1,KG B,1,1
,,,,,,,,
1,74,5,2,"6,5",1,KG B,1,1
,,,,,,,,
1,76,5,2,"6,5",1,KG B,1,1
,,,,,,,,
1,48,9,4,"6,5",1,KG B,2,2
,,,,,,,,
2,69,4,6,"6,5",1,KG B,1,1
,,,,,,,,
1,28,9,4,"6,5",1,KG B,2,2
,,,,,,,,
1,21,7,0,"6,5",1,KG B,2,2
,,,,,,,,
1,43,4,2,"6,5",1,KG B,1,1
,,,,,,,,
2,49,6,5,"6,5",1,KG B,1,1
,,,,,,,,
1,49,5,3,"6,5",1,KG B,1,1
,,,,,,,,
2,45,4,7,"6,5",1,KG B,1,1
,,,,,,,,
1,59,6,1,"6,75",1,Intervention A,1,1
,,,,,,,,
2,61,9,5,"6,75",1,Intervention A,1,1
,,,,,,,,
2,68,9,3,"6,75",1,Intervention A,1,1
,,,,,,,,
1,24,7,1,"6,75",1,Intervention A,1,1
,,,,,,,,
1,55,6,3,"6,75",1,Intervention A,2,1
,,,,,,,,
1,67,5,3,"6,75",1,Intervention A,2,2
,,,,,,,,
2,59,9,9,"6,75",1,Intervention A,2,2
,,,,,,,,
2,78,5,3,"6,75",1,Intervention A,2,2
,,,,,,,,
1,55,4,3,"6,75",1,Intervention A,2,1
,,,,,,,,
1,67,4,1,"6,75",1,Intervention A,2,2
,,,,,,,,
1,29,7,1,"6,75",1,Intervention A,2,2
,,,,,,,,
1,49,8,5,"6,75",1,Intervention B,1,1
,,,,,,,,
1,32,5,4,"6,75",1,Intervention B,2,2
,,,,,,,,
2,40,9,7,"6,75",1,Intervention B,1,2
,,,,,,,,
2,35,4,4,"6,75",1,Intervention B,2,2
,,,,,,,,
1,40,5,4,"6,75",1,Intervention B,2,2
,,,,,,,,
1,66,4,4,"6,75",1,Intervention B,2,2
,,,,,,,,
1,67,5,9,"6,75",1,Intervention B,1,2
,,,,,,,,
2,67,8,4,"6,75",1,Intervention B,1,2
,,,,,,,,
2,75,4,8,"6,75",1,Intervention B,2,1
,,,,,,,,
1,57,7,8,"6,75",1,Intervention B,2,2
,,,,,,,,
2,62,5,0,"6,75",1,Intervention B,1,1
,,,,,,,,
2,60,9,0,"6,75",1,Intervention B,1,2
,,,,,,,,
2,79,9,3,"6,75",1,Intervention B,1,1
,,,,,,,,
1,22,8,2,"6,75",1,Intervention B,2,2
,,,,,,,,
1,69,8,4,"6,75",1,KG A,1,1
,,,,,,,,
1,23,7,2,"6,75",1,KG A,2,2
,,,,,,,,
2,51,9,9,"6,75",1,KG A,2,2
,,,,,,,,
1,56,9,3,"6,75",1,KG A,1,1
,,,,,,,,
1,64,9,4,"6,75",1,KG A,2,2
,,,,,,,,
1,59,5,2,"6,75",1,KG A,2,2
,,,,,,,,
2,26,8,8,"6,75",1,KG A,1,1
,,,,,,,,
2,56,7,2,"6,75",1,KG A,1,2
,,,,,,,,
1,37,7,7,"6,75",1,KG A,2,1
,,,,,,,,
1,50,5,3,"6,75",1,KG A,1,1
,,,,,,,,
1,65,7,7,"6,75",1,KG A,1,1
,,,,,,,,
1,48,5,7,"6,75",1,KG A,1,1
,,,,,,,,
2,31,7,5,"6,75",1,KG A,2,2
,,,,,,,,
2,43,5,2,"6,75",1,KG A,1,1
,,,,,,,,
2,67,8,0,"6,75",1,KG A,1,1
,,,,,,,,
1,54,5,2,"6,75",1,KG A,1,1
,,,,,,,,
1,60,5,5,"6,75",1,KG B,1,1
,,,,,,,,
1,68,5,2,"6,75",1,KG B,2,2
,,,,,,,,
1,66,4,0,"6,75",1,KG B,1,1
,,,,,,,,
2,41,8,3,"6,75",1,KG B,1,1
,,,,,,,,
1,61,3,1,"6,75",1,KG B,1,1
,,,,,,,,
1,35,4,6,"6,75",1,KG B,1,1
,,,,,,,,
1,62,5,1,"6,75",1,KG B,1,1
,,,,,,,,
1,62,5,1,"6,75",1,KG B,1,1
,,,,,,,,
1,63,5,2,"6,75",1,KG B,1,2
,,,,,,,,
2,79,5,7,"6,75",1,KG B,1,1
,,,,,,,,
2,44,5,3,"6,75",1,KG B,1,1
,,,,,,,,
2,74,7,8,"6,75",1,KG B,2,2
,,,,,,,,
2,66,4,7,7,1,Intervention A,1,2
,,,,,,,,
1,33,5,3,7,1,Intervention A,1,1
,,,,,,,,
1,39,3,1,7,1,Intervention A,1,1
,,,,,,,,
1,46,5,8,7,1,Intervention A,1,1
,,,,,,,,
1,38,5,2,7,1,Intervention A,1,1
,,,,,,,,
2,59,9,9,7,1,Intervention A,1,1
,,,,,,,,
1,72,8,9,7,1,Intervention A,2,2
,,,,,,,,
1,62,5,6,7,1,Intervention A,2,2
,,,,,,,,
1,48,9,4,7,1,Intervention A,2,2
,,,,,,,,
1,59,4,2,7,1,Intervention A,2,2
,,,,,,,,
2,60,5,2,7,1,Intervention A,2,2
,,,,,,,,
2,59,6,5,7,1,Intervention A,2,2
,,,,,,,,
2,63,9,8,7,1,Intervention A,2,2
,,,,,,,,
2,66,9,0,7,1,Intervention A,2,2
,,,,,,,,
1,69,5,1,7,1,Intervention A,2,2
,,,,,,,,
1,60,7,5,7,1,Intervention A,2,2
,,,,,,,,
1,54,4,4,7,1,Intervention A,2,2
,,,,,,,,
1,29,5,2,7,1,Intervention B,1,2
,,,,,,,,
1,45,9,3,7,1,Intervention B,2,2
,,,,,,,,
2,56,5,4,7,1,Intervention B,1,2
,,,,,,,,
1,68,4,4,7,1,Intervention B,1,2
,,,,,,,,
1,72,5,2,7,1,Intervention B,1,1
,,,,,,,,
2,61,9,6,7,1,Intervention B,2,2
,,,,,,,,
2,40,5,3,7,1,Intervention B,1,2
,,,,,,,,
1,63,5,7,7,1,Intervention B,1,2
,,,,,,,,
1,29,9,7,7,1,Intervention B,2,2
,,,,,,,,
1,69,5,3,7,1,Intervention B,1,2
,,,,,,,,
2,57,4,9,7,1,Intervention B,2,2
,,,,,,,,
2,67,7,4,7,1,Intervention B,2,2
,,,,,,,,
1,63,5,0,7,1,Intervention B,1,1
,,,,,,,,
2,77,5,2,7,1,Intervention B,1,2
,,,,,,,,
2,45,5,8,7,1,Intervention B,1,1
,,,,,,,,
2,32,9,6,7,1,Intervention B,2,2
,,,,,,,,
1,28,9,3,7,1,Intervention B,2,2
,,,,,,,,
1,53,5,3,7,1,Intervention B,1,2
,,,,,,,,
2,35,5,4,7,1,Intervention B,2,2
,,,,,,,,
1,69,4,2,7,1,Intervention B,1,2
,,,,,,,,
1,61,4,4,7,1,Intervention B,2,2
,,,,,,,,
1,64,8,3,7,1,Intervention B,1,1
,,,,,,,,
1,21,7,1,7,1,Intervention B,2,2
,,,,,,,,
2,70,4,4,7,1,Intervention B,1,1
,,,,,,,,
1,54,5,5,7,1,Intervention B,2,2
,,,,,,,,
1,64,5,1,7,1,Intervention B,2,2
,,,,,,,,
1,47,5,3,7,1,Intervention B,1,1
,,,,,,,,
1,56,3,0,7,1,Intervention B,1,1
,,,,,,,,
1,68,5,3,7,1,Intervention B,2,2
,,,,,,,,
1,62,5,5,7,1,Intervention B,2,2
,,,,,,,,
1,29,4,2,7,1,Intervention B,1,2
,,,,,,,,
2,53,9,8,7,1,Intervention B,2,2
,,,,,,,,
1,23,8,8,7,1,KG A,2,2
,,,,,,,,
2,67,5,1,7,1,KG A,1,1
,,,,,,,,
1,56,5,2,7,1,KG A,2,2
,,,,,,,,
1,70,5,3,7,1,KG A,1,1
,,,,,,,,
1,60,6,6,7,1,KG A,2,2
,,,,,,,,
2,48,9,0,7,1,KG A,1,1
,,,,,,,,
1,71,9,7,7,1,KG A,1,1
,,,,,,,,
2,81,9,4,7,1,KG A,1,1
,,,,,,,,
1,37,5,4,7,1,KG A,1,1
,,,,,,,,
2,72,5,2,7,1,KG A,1,1
,,,,,,,,
2,55,9,8,7,1,KG A,1,1
,,,,,,,,
1,68,4,7,7,1,KG A,1,1
,,,,,,,,
1,75,9,5,7,1,KG A,2,2
,,,,,,,,
1,20,7,2,7,1,KG A,2,1
,,,,,,,,
1,62,6,2,7,1,KG A,1,1
,,,,,,,,
1,41,5,1,7,1,KG A,1,1
,,,,,,,,
2,40,6,7,7,1,KG A,2,1
,,,,,,,,
1,26,9,2,7,1,KG A,2,2
,,,,,,,,
1,53,5,8,7,1,KG A,1,1
,,,,,,,,
2,58,8,2,7,1,KG A,1,1
,,,,,,,,
1,54,4,3,7,1,KG A,1,1
,,,,,,,,
2,53,9,0,7,1,KG A,1,1
,,,,,,,,
1,48,9,8,7,1,KG A,1,1
,,,,,,,,
2,74,5,0,7,1,KG A,2,2
,,,,,,,,
2,49,4,5,7,1,KG A,2,2
,,,,,,,,
2,72,5,0,7,1,KG A,1,1
,,,,,,,,
2,52,4,4,7,1,KG A,1,1
,,,,,,,,
1,46,9,0,7,1,KG A,1,1
,,,,,,,,
2,46,4,3,7,1,KG A,1,1
,,,,,,,,
1,40,4,1,7,1,KG A,1,1
,,,,,,,,
2,45,9,8,7,1,KG A,1,1
,,,,,,,,
2,45,5,6,7,1,KG A,1,1
,,,,,,,,
2,38,8,7,7,1,KG A,1,1
,,,,,,,,
1,19,7,1,7,1,KG A,2,2
,,,,,,,,
2,21,5,4,7,1,KG A,1,1
,,,,,,,,
2,58,4,0,7,1,KG A,1,1
,,,,,,,,
2,68,6,9,7,1,KG A,1,1
,,,,,,,,
2,55,5,5,7,1,KG B,1,1
,,,,,,,,
1,46,5,5,7,1,KG B,1,2
,,,,,,,,
1,67,5,2,7,1,KG B,1,1
,,,,,,,,
1,74,8,1,7,1,KG B,1,1
,,,,,,,,
1,69,4,3,7,1,KG B,1,1
,,,,,,,,
1,61,5,2,7,1,KG B,1,1
,,,,,,,,
1,76,4,2,7,1,KG B,1,2
,,,,,,,,
1,56,5,4,7,1,KG B,1,1
,,,,,,,,
1,65,5,0,7,1,KG B,1,1
,,,,,,,,
1,67,8,2,7,1,KG B,1,1
,,,,,,,,
1,60,4,3,7,1,KG B,1,1
,,,,,,,,
2,66,5,5,7,1,KG B,1,1
,,,,,,,,
2,52,3,0,7,1,KG B,1,1
,,,,,,,,
2,51,5,9,7,1,KG B,1,1
,,,,,,,,
2,61,5,2,7,1,KG B,1,1
,,,,,,,,
2,68,8,2,7,1,KG B,2,2
,,,,,,,,
1,65,7,7,7,1,KG B,1,1
,,,,,,,,
1,56,5,3,7,1,KG B,1,2
,,,,,,,,
1,40,7,4,7,1,KG B,2,2
,,,,,,,,
2,62,5,8,7,1,KG B,1,2
,,,,,,,,
1,59,3,4,7,1,KG B,1,1
,,,,,,,,
1,77,9,0,7,1,KG B,1,1
,,,,,,,,
2,70,5,1,7,1,KG B,2,2
,,,,,,,,
1,60,5,2,7,1,KG B,1,1
,,,,,,,,
2,60,9,9,7,1,KG B,1,1
,,,,,,,,
2,46,8,4,7,1,KG B,2,2
,,,,,,,,
2,71,9,8,7,1,KG B,2,2
,,,,,,,,
2,73,9,6,7,1,KG B,1,1
,,,,,,,,
2,68,9,3,7,1,KG B,1,1
,,,,,,,,
2,61,9,4,7,1,KG B,2,2
